dr12objid,RA,DEC,redShift,nuv_mag,j,jIvar,h,hIvar,k,kIvar,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,nearest_galexid,petromag_r,petror90_r
1237668294982631441,166.6686,20.08556,0.004018013,17.758339405059825,12.828,129.1322,12.19,110.8033,11.879,244.1406,15.19671,13.46851,12.75215,12.40654,12.20273,2503511148134932819,12.86119,24.84704
1237661069789692132,160.4207,13.82488,0.004153254,20.197524070739753,16.393,45.65376,15.028,0.0,15.032,0.0,18.32432,16.97984,16.48138,16.21858,16.08721,3126204165365174199,16.42459,8.927476
1237670964313915418,145.1004,14.92263,0.012725,18.34208908081054,11.995,342.9355,11.609,148.721,11.362,160.2307,14.86275,13.00272,12.16666,11.76231,11.48413,3849418933850344687,12.28197,33.84023
1237654601022243081,140.3144,3.15109,0.01174206,16.99917221069333,14.325,0.0,13.72,0.0,14.509,44.44444,16.27807,15.11584,14.59263,14.3195,14.09505,2927799491156254266,14.59793,22.62001
1237667912202256468,180.9738,25.43383,0.01083279,15.3970766067505,15.456,0.0,14.893,0.0,15.113,33.02946,15.39328,14.56444,14.32868,14.19826,14.19618,6378867482636061941,14.37861,46.124
1237661970640797702,166.8071,6.41181,0.008539117,17.861821174621603,15.739,47.56243,15.002,32.28306,14.521,54.86968,16.80379,15.8728,15.46948,15.27918,15.09055,2947256449120602141,15.34993,11.5034
1237661388678168705,212.824,55.51219,0.005607496,18.3230419158936,15.827,47.56243,15.13,44.44444,13.902,0.0,16.72013,15.36573,14.72109,14.39583,14.15745,3211948480143566028,14.74613,22.56692
1237667966962434077,234.132,16.60778,0.006562448,14.121673901875832,12.313,244.1406,11.389,229.5684,10.961,566.8934,13.88846,12.27201,11.50843,11.13745,10.69249,2391835951328396545,11.44545,47.64507
1237660584979333181,148.0473,8.736313,0.01096207,18.4943199157715,16.091,66.09822,15.43,57.3921,15.313,19.23669,17.47136,16.58802,16.25829,16.11481,16.01811,6382667414151105566,16.464,5.402196
1237658303281692734,171.6846,59.15545,0.004019914,16.0299434661865,13.268,236.6864,12.58,164.3655,11.877,355.9986,15.049,14.16245,13.6051,13.36798,13.0958,6374399035170620687,13.69522,12.84471
1237664133165547565,160.9121,14.87186,0.004168204,14.370727062225349,15.47,79.71938,14.74,54.86968,14.757,42.16563,14.27833,12.93829,12.14824,11.81082,11.68079,3227922185273220850,12.22453,60.59292
1237667253471608906,166.0123,28.03681,0.004574823,14.821527798970534,13.153,594.884,12.587,384.4675,12.33,493.8271,14.18895,12.81729,12.06447,11.71639,11.43219,3228274028994107183,12.51558,29.33423
