,objID,ra,dec,type,petromag_r,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,redShift,redshiftUncertainty,redShiftWarning,redShiftWarningText,petror90_r
4960,1237667210528358451,182.19704,29.304781,3,13.05826,15.52903,13.72036,12.92893,12.55807,12.28898,0.01237441,6.515003e-06,0,OK,16.84308
4961,1237667210528358515,182.2565,29.25227,3,17.54228,18.03773,17.68318,17.46372,17.56471,17.42592,0.01291842,6.755219e-06,0,OK,1.321568
4962,1237667210528358554,182.29171,29.176912,3,12.88668,15.12367,13.47932,12.71154,12.3083,12.03692,0.01275094,8.058188e-06,0,OK,31.96996
4963,1237667210528358569,182.29658,29.172236,3,20.25111,20.97884,20.50051,20.1219,20.36784,19.7464,0.01229227,8.189049e-06,0,OK,1.256925
4964,1237667210528358803,182.28994,29.273502,3,15.54215,16.39749,15.4901,15.07175,14.86216,14.69556,0.01287533,5.788413e-06,0,OK,18.55333
4965,1237667210528359173,182.18503,29.267946,3,17.05312,18.70184,17.52317,17.06147,16.87362,16.68126,0.01204378,2.896127e-05,0,OK,14.0221
4966,1237667210528424110,182.39428,29.336585,3,17.55175,18.82094,19.59743,17.80948,17.65795,17.204,0.01284433,7.308766e-06,0,OK,10.74439
4967,1237667210528686136,183.08575,29.210266,3,13.17156,14.66702,13.5722,13.17407,12.90086,12.90708,0.00376619,1.495322e-05,0,OK,70.80479
4968,1237667210528686149,183.08925,29.206944,3,21.50518,23.93301,22.10319,21.39612,21.187,20.77703,0.003778912,3.256968e-05,0,OK,1.177952
4969,1237667211039473755,120.47464,13.642959,3,17.28435,18.951,17.7004,17.24563,17.0979,16.96592,0.001005991,5.99795e-05,0,OK,1.588533
4970,1237667211044913528,132.27748,19.007306,3,17.50262,19.88201,18.22432,17.53489,17.27649,17.10065,0.01261947,6.327865e-05,0,OK,8.916476
4971,1237667211044978722,132.3508,19.074315,3,12.66637,16.02631,14.08206,13.26593,12.84407,12.55075,0.01250764,6.474327e-06,0,OK,53.23679
4972,1237667211057299698,161.62685,27.698961,3,16.90333,18.77138,17.33829,16.86176,16.69186,16.52033,0.005141894,1.997922e-05,0,OK,12.39717
