dr12objid,RA,DEC,j,jIvar,h,hIvar,k,kIvar
1237667321643728963,178.2712,26.20694,12.847,355.9986,12.011,318.8775,11.698,692.5208
1237673807043690657,120.0997,17.52415,15.847,87.34387,15.459,50.29928,14.873,51.75716
1237679167161303218,29.86125,14.83424,16.099,41.62331,14.236,0,14.137,0
1237668625161453608,188.6447,18.20268,14.166,118.1474,14.083,35.01278,13.858,32.28306
1237671262279499894,149.4491,15.1256,13.29,141.7234,12.703,110.8033,12.363,236.6864
1237674473828646936,174.143,59.42722,15.479,187.6525,14.717,145.159,14.425,96.11687
1237678617435439176,40.27148,0.9314415,15.776,45.65376,15.327,35.85643,15.022,33.80205
1237674649384058907,162.2564,-0.6404129,15.845,30.8642,15.269,21.63332,13.912,0
1237678920198783025,346.2361,12.32288,12.775,177.7778,11.993,177.7778,11.485,355.9986
1237668623008727174,176.0394,16.37102,14.186,307.787,13.714,152.4158,13.49,148.721
1237671264962150496,192.4911,5.311397,15.038,33.80205,14.462,18.90359,14.026,32.28306
1237667915958517959,188.2152,20.1835,16.116,26.84636,15.543,19.75309,14.288,0
1237667735568515150,150.6481,19.17692,12.725,657.4622,11.883,516.5289,11.534,657.4622
1237667916489031847,172.6454,20.37214,16.661,27.99474,15.079,0,15.664,25.25189
1237680240909090979,349.7699,-8.485093,12.767,120.7584,12.051,148.721,11.605,236.6864
1237668271916187794,243.5329,10.73296,15.085,135.2082,14.509,110.8033,14.158,110.8033
1237671264958349432,192.0568,-3.332715,13.45,31.91931,12.86,22.46131,12.254,60.09255
1237668585433989215,171.6241,16.86343,12.499,330.5785,11.85,251.9526,11.788,129.1322
1237668585434120195,171.7966,17.03017,13.528,268.745,13.093,120.7584,12.937,106.2812
1237668585971318837,172.6092,17.33243,16.168,51.75716,15.588,38.10395,14.365,0
1237668585972432980,175.2126,17.54757,16.041,78.31467,14.589,0,14.224,0
1237668586508124247,172.415,17.93,16.449,46.27701,16.025,20.66116,15.625,23.33777
1237668586509172935,174.9756,17.88204,14.499,0,13.939,0,14.454,58.27167
1237678595929669820,329.5317,1.00946,14.94,70.61648,14.106,38.57876,12.748,0
1237671767461724364,228.0522,57.00168,16.723,33.41241,15.847,24.26654,15.81,0
1237668589186711640,186.2286,16.81088,16.801,35.01278,15.606,0,15.274,0
1237668589722992828,184.8695,17.23046,15.677,54.86968,15.092,41.09138,13.917,0
1237668590260060191,185.2971,17.63864,15.587,30.5241,15.2,20.10899,14.889,25.25189
1237673706651648260,113.8983,41.96358,15.916,41.09138,15.579,15.87277,15.209,29.21841
1237678617415712900,355.0864,1.24585,14.715,0,15.198,11.18556,13.692,0
1237668623010758707,180.9607,16.55453,16.496,40.05768,15.227,0,14.894,0
1237674648854331588,178.5487,-1.131764,16.249,24.5074,14.571,0,14.408,0
1237668623012200453,184.3123,16.53132,13.176,192.9013,12.545,118.1474,12.271,260.1457
1237662195605241871,200.4001,42.28271,15.302,31.21001,14.663,37.18025,14.384,45.04301
1237667536935518284,154.7563,21.28369,16.032,56.53231,15.53,39.5554,14.058,0
1237668584896135192,169.321,16.32712,16.014,62.00012,14.74,0,14.511,0
1237668586506879075,169.5214,17.64952,15.174,90.70295,14.503,53.27935,14.349,67.18624
1237671765323088077,190.3017,-0.7568139,16.593,22.46131,14.991,0,15.377,21.042
1237678437015027734,36.61789,1.160503,15.605,33.41241,14.984,19.06905,14.796,35.01278
1237678617404047646,328.575,0.9421312,15.63,64,15.346,19.57867,14.778,54.06574
1237671767462576283,230.9652,58.05291,15.842,67.18624,15.193,60.09255,14.904,61.03515
1237668588650299428,187.3597,16.40475,13.391,0,12.687,0,12.903,192.9013
1237662307807723645,234.7601,31.75992,14.308,148.721,13.918,64,13.684,85.73388
1237668589187301427,187.7177,16.75885,12.179,771.605,11.769,244.1406,11.683,236.6864
1237671990804021555,204.3416,2.330803,16.753,21.63332,15.935,28.29335,14.673,0
1237667734505128161,175.8525,21.65068,15.774,44.44444,15.234,27.12674,14.962,28.29335
1237668590259666984,184.3636,17.65052,13.628,156.25,13.254,71.81844,12.881,113.1734
1237668590262222941,190.5857,17.50976,16.344,60.09255,15.766,33.80205,14.389,0
1237668624624648241,188.7055,17.8143,15.984,49.59333,14.432,0,14.133,0
1237668610660171989,242.8093,51.19238,15.964,51.75716,15.195,42.71861,14.753,54.06574
1237674475439783956,176.1021,60.88408,14.857,187.6525,14.225,132.1179,13.982,229.5684
1237668623011610631,182.9088,16.47836,15.548,17.80341,15.045,14.13308,13.56,0
1237674650458193981,163.2027,0.0344822,15.62,54.06574,15.124,28.59676,14.592,44.44444
1237673700743053424,38.88621,-7.154425,15.903,31.91931,14.151,0,14.13,0
1237668624086270144,185.2034,17.48722,15.423,60.09255,14.904,51.75716,14.515,57.3921
1237665367972773964,174.7551,31.48765,14.127,118.1474,13.292,145.159,12.79,251.9526
