galexid,sdss_id,survey,nuvExposureTime,fuvExposureTime,ra,dec,nuv_mag,nuv_magErr,fuv_mag,fuv_magErr,e_bv
6374997153390002769,1237651250972000309,AIS,111,111,229.354987418835,56.6635643365879,16.7651348114014,0.0251529030501843,17.2232494354248,0.06261295825243,0.00877401139587164
6375102751602382040,1237654398080123007,AIS,120,120,173.336194483471,63.2792565221716,-999,-999,16.5945224761963,0.041053295135498,0.0248745214194059
6374645383757301284,1237665025976303629,AIS,101.05,101.05,177.867100467246,35.4340986874675,18.6269378662109,0.0769509300589561,21.4873371124268,0.419021040201187,0.0202582012861967
6374750935799828699,1237662224613834886,AIS,208.65,61,212.258748563837,36.3233084580802,18.2818546295166,0.0403952337801456,18.627368927002,0.133077681064606,0.00864243507385254
6374750936871472219,1237662224613834886,AIS,213.1,62,212.259048961163,36.3230886962274,18.1062431335449,0.0438855923712254,-999,-999,0.00864243507385254
6374821303470261403,1237667911662633076,AIS,96,96,174.008240950457,24.6883252408647,18.6781921386719,0.0713071599602699,18.6293830871582,0.105798982083797,0.0233866814523935
6375102752677170209,1237655448732762298,AIS,154,154,170.786807325285,62.8125553843278,20.4260177612305,0.197959631681442,21.4072341918945,0.318756580352783,0.0107116959989071
6374997174863794642,1237655464315650103,AIS,117.05,117.05,227.382114230146,54.5067646079452,-999,-999,21.1964893341064,0.303286015987396,0.0130592100322247
6374645389126012766,1237665129613164649,AIS,331,107,172.302939550727,35.3857174559613,19.7755088806152,0.0706055387854576,20.5982685089111,0.241403847932816,0.0240615773946047
6374645389126012956,1237665026511142935,AIS,331,107,172.225688116168,35.4142023077887,16.6046371459961,0.0134864682331681,17.3141632080078,0.0508291199803352,0.02202526666224
6375102764488331397,1237655465376022651,AIS,135,135,168.595392676381,62.0724989210325,16.683666229248,0.0233315918594599,17.0228672027588,0.0497211925685406,0.0120621090754867
6374328725482242574,1237655448734924906,AIS,389,108,181.629820940706,63.3523620119261,18.4874420166016,0.0298811085522175,18.947811126709,0.109942212700844,0.0172946713864803
6374786039641279410,1237661362914328673,AIS,189,189,220.040056051147,42.7790973422086,15.7832345962524,0.0129509177058935,16.2379169464111,0.0208301097154617,0.0165985319763422
6374997209224579913,1237659149923778582,AIS,123,123,227.028293950021,52.32435268575,19.6855525970459,0.0747165083885193,21.5624141693115,0.420686930418015,0.0229796189814806
6374997209224580696,1237659326021042210,AIS,123,123,226.985668480243,52.5228430875726,19.4941253662109,0.0727803409099579,20.9881172180176,0.27215576171875,0.0179673731327057
6374997224256965711,1237655129834717269,AIS,171,171,238.354858826624,52.0710187369451,18.3884830474854,0.0469198264181614,18.6247005462646,0.0854589119553566,0.011341598816216
6375102704356688550,1237651538708332570,AIS,112,112,162.523056143464,65.8373499382335,20.9450798034668,0.318931013345718,-999,-999,0.0110841132700443
6374680558465714747,1237664819826655303,AIS,203,110,189.737127315579,38.0902101743716,16.635404586792,0.0199031513184309,17.1026229858398,0.0459612421691418,0.0241823997348547
3862753810872014286,1237655126085075097,MIS,1664,0,189.280094793395,5.42155904670925,19.586820602417,0.0471515394747257,-999,-999,0.0250502359122038
6374856434153165178,1237665227841929293,AIS,111,111,183.912710927051,33.1603129483597,19.6333675384521,0.136350154876709,-999,-999,0.0123161403462291
6374856489989833020,1237665440975356008,AIS,176,96,185.609841860991,29.2079514706457,17.0272636413574,0.025969672948122,18.0613784790039,0.0790589675307274,0.0230301953852177
6374997154463747166,1237671767461724364,AIS,92,92,228.052516256452,57.0015849252944,18.2445507049561,0.0537542141973972,18.5766925811768,0.118281736969948,0.0133209470659494
6375102772004522441,1237653614799749192,AIS,107,107,153.738155909622,59.8532543885686,18.2190780639648,0.0539866164326668,18.2516689300537,0.077593520283699,0.0100771812722087
6375102790258130983,1237653612115591299,AIS,110,110,156.291180467719,58.1499331999415,15.1134662628174,0.0124049354344606,15.5848636627197,0.0283923503011465,0.0096124205738306
6374574968842226209,1237661958297354297,AIS,205.05,205.05,210.691408400657,49.1742211093738,15.9340238571167,0.0130755472928286,16.2777137756348,0.0242328625172377,0.0146590955555439
6378445243329546727,1237661382234472578,AIS,304,144,143.429566327176,33.6000872819349,16.8648586273193,0.0150500405579805,17.0587863922119,0.0411900356411934,0.0182142145931721
6375102792403517739,1237658303281430564,AIS,108,108,170.573829550024,59.0749418975425,14.2016363143921,0.0123025458306074,-999,-999,0.010950337164104
6375102792403517829,1237655107837624465,AIS,108,108,169.513845839046,58.7475804316762,21.0423526763916,0.399277031421661,-999,-999,0.0100864339619875
6374786058968633687,1237661852016771194,AIS,107,107,217.393132712477,40.8914498668695,17.2710781097412,0.0349813625216484,17.6132316589355,0.0629685968160629,0.0119263818487525
3863457498313791844,1237654879652479054,MIS,1643.05,0,190.209833050454,4.52563984568199,17.5635528564453,0.0101106893271208,-999,-999,0.0275360755622387
6374750900364250560,1237662195607994502,AIS,112,112,208.531160631278,40.8171652412525,20.2602005004883,0.16446353495121,-999,-999,0.00779393455013633
6375489758221567110,1237665106505367889,AIS,299,187,246.634265979948,18.2726567824844,19.2163238525391,0.0524520538747311,19.6244697570801,0.101719699800015,0.0496628917753696
6375489765737761730,1237662226239717437,AIS,142,142,248.606381774416,21.5404476868628,16.1976757049561,0.0196943767368793,18.2727584838867,0.0838044062256813,0.0467950478196144
6375489766811500796,1237662662147571761,AIS,137.05,137.05,248.393411281894,19.946182573702,18.8607597351074,0.0671373382210732,19.4564800262451,0.136800616979599,0.0651638731360435
